2024-05-05 14:40:17,684 - root - INFO - Starting the process...
2024-05-05 14:40:17,768 - root - INFO - Training and hyperparameter tuning starts.
2024-05-05 14:40:17,768 - optuna.storages._in_memory - INFO - A new study created in memory with name: no-name-f08fd999-7db3-4f65-b66d-6374919f7f16
2024-05-05 14:40:21,381 - root - INFO - New best model saved with score: 0.0003814624797087163
2024-05-05 14:40:21,381 - optuna.study.study - INFO - Trial 0 finished with value: 0.0003814624797087163 and parameters: {'batch_size': 64, 'num_layers': 4, 'hidden_dim': 128, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 32, 'lr': 0.002265370746003531, 'tw': 30}. Best is trial 0 with value: 0.0003814624797087163.
2024-05-05 14:40:28,159 - optuna.study.study - INFO - Trial 18 finished with value: 0.0002378794306423515 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0006665955246240103, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:28,482 - optuna.study.study - INFO - Trial 19 finished with value: 0.007623630575835705 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.00012378370992944512, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:28,798 - optuna.study.study - INFO - Trial 20 finished with value: 0.00030406907899305224 and parameters: {'batch_size': 64, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 128, 'meta_hidden_dim2': 128, 'lr': 0.0006505983431360288, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:29,143 - optuna.study.study - INFO - Trial 21 finished with value: 0.0002797200286295265 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0003922168458824911, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:29,460 - optuna.study.study - INFO - Trial 22 finished with value: 0.00047175231156870723 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.00041294831067175216, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:29,765 - optuna.study.study - INFO - Trial 23 finished with value: 0.0002781227231025696 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.00040781232294031687, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:30,119 - optuna.study.study - INFO - Trial 24 finished with value: 0.000991635606624186 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.00036788870601817266, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:30,431 - optuna.study.study - INFO - Trial 25 finished with value: 0.001429102965630591 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0001688200092969164, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:30,747 - optuna.study.study - INFO - Trial 26 finished with value: 0.00033375341445207596 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0002772852156885365, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:31,074 - optuna.study.study - INFO - Trial 27 finished with value: 0.0004569954762700945 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0005043150624681327, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:31,434 - optuna.study.study - INFO - Trial 28 finished with value: 0.00028486401424743235 and parameters: {'batch_size': 64, 'num_layers': 3, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0007809754693664597, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:31,806 - optuna.study.study - INFO - Trial 29 finished with value: 0.0037807393819093704 and parameters: {'batch_size': 64, 'num_layers': 4, 'hidden_dim': 128, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.00010333550212422242, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:32,182 - optuna.study.study - INFO - Trial 30 finished with value: 0.0003544248756952584 and parameters: {'batch_size': 16, 'num_layers': 4, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.00178514959065838, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:32,481 - optuna.study.study - INFO - Trial 31 finished with value: 0.00034849706571549177 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 128, 'meta_hidden_dim2': 128, 'lr': 0.0008954322470853908, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:32,788 - optuna.study.study - INFO - Trial 32 finished with value: 0.00034324373700655997 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 256, 'lr': 0.0003364009377428271, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:33,431 - optuna.study.study - INFO - Trial 33 finished with value: 0.006237158086150885 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 32, 'meta_hidden_dim2': 32, 'lr': 0.00018709033323167904, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:33,740 - optuna.study.study - INFO - Trial 34 finished with value: 0.0002904664434026927 and parameters: {'batch_size': 32, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 128, 'meta_hidden_dim2': 128, 'lr': 0.0005137084913591355, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:34,052 - optuna.study.study - INFO - Trial 35 finished with value: 0.00035263289464637637 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 256, 'lr': 0.0014578537661254518, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:34,676 - optuna.study.study - INFO - Trial 36 finished with value: 0.00026119218091480434 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0008677443109978506, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:35,293 - optuna.study.study - INFO - Trial 37 finished with value: 0.0004089965077582747 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0002567643226563439, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:35,925 - optuna.study.study - INFO - Trial 38 finished with value: 0.0004664658918045461 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.00020676750733526503, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:36,544 - optuna.study.study - INFO - Trial 39 finished with value: 0.00028061209013685584 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0007833021800009234, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:37,169 - optuna.study.study - INFO - Trial 40 finished with value: 0.0005141887231729925 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 32, 'lr': 0.00032348635262070537, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:37,786 - optuna.study.study - INFO - Trial 41 finished with value: 0.0002973875089082867 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0007843023924818594, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:38,430 - optuna.study.study - INFO - Trial 42 finished with value: 0.00038382926140911877 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0004693506651493076, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:39,045 - optuna.study.study - INFO - Trial 43 finished with value: 0.00025499227922409773 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.001002452776147734, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:39,674 - optuna.study.study - INFO - Trial 44 finished with value: 0.00030668050749227405 and parameters: {'batch_size': 32, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 32, 'meta_hidden_dim2': 256, 'lr': 0.001350419050117367, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:39,987 - optuna.study.study - INFO - Trial 45 finished with value: 0.00026441679801791906 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0005660999058737428, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:40,287 - optuna.study.study - INFO - Trial 46 finished with value: 0.0003427292685955763 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0010539933956714598, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:40,598 - optuna.study.study - INFO - Trial 47 finished with value: 0.00031813891837373376 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0006107078315998831, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:40,925 - optuna.study.study - INFO - Trial 48 finished with value: 0.0002819568326231092 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 32, 'lr': 0.0010608235076462332, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:41,236 - optuna.study.study - INFO - Trial 49 finished with value: 0.00029543397249653935 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0028578214703317228, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:41,706 - optuna.study.study - INFO - Trial 50 finished with value: 0.000255479768384248 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0016225774872850045, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:42,202 - optuna.study.study - INFO - Trial 51 finished with value: 0.0003114436403848231 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.001817967905827677, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:42,678 - optuna.study.study - INFO - Trial 52 finished with value: 0.0002671289839781821 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0009261341171257167, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:43,159 - optuna.study.study - INFO - Trial 53 finished with value: 0.0003014469984918833 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.001191634274337025, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:43,632 - optuna.study.study - INFO - Trial 54 finished with value: 0.0003459325816947967 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.000901483289674516, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:44,102 - optuna.study.study - INFO - Trial 55 finished with value: 0.00035082301474176347 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0014423717054290143, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:44,580 - optuna.study.study - INFO - Trial 56 finished with value: 0.00031273491913452744 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 256, 'lr': 0.0021658072945616954, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:45,086 - optuna.study.study - INFO - Trial 57 finished with value: 0.00038277788553386927 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.004092264601003626, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:45,586 - optuna.study.study - INFO - Trial 58 finished with value: 0.0003163597430102527 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0016610774231612282, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:46,081 - optuna.study.study - INFO - Trial 59 finished with value: 0.0003514361451379955 and parameters: {'batch_size': 32, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 32, 'meta_hidden_dim2': 64, 'lr': 0.000694408156013993, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:46,395 - optuna.study.study - INFO - Trial 60 finished with value: 0.00033643655478954315 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 32, 'lr': 0.002461390995800701, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:46,939 - optuna.study.study - INFO - Trial 61 finished with value: 0.0003614089800976217 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0005229647400228965, 'tw': 30}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:47,426 - optuna.study.study - INFO - Trial 62 finished with value: 0.00035359582398086786 and parameters: {'batch_size': 64, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.000964136005234097, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:47,737 - optuna.study.study - INFO - Trial 63 finished with value: 0.00035855808528140187 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0006106892433887167, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:48,045 - optuna.study.study - INFO - Trial 64 finished with value: 0.0003537963784765452 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.001268788711087149, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:48,532 - optuna.study.study - INFO - Trial 65 finished with value: 0.00036996009293943644 and parameters: {'batch_size': 32, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 32, 'meta_hidden_dim2': 64, 'lr': 0.000690667630612441, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:48,847 - optuna.study.study - INFO - Trial 66 finished with value: 0.00031139556085690856 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 32, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0004740140481878622, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:49,184 - optuna.study.study - INFO - Trial 67 finished with value: 0.0003225673863198608 and parameters: {'batch_size': 64, 'num_layers': 3, 'hidden_dim': 64, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0007904927248551133, 'tw': 30}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:49,803 - optuna.study.study - INFO - Trial 68 finished with value: 0.000382978527341038 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0004163778317527843, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:50,150 - optuna.study.study - INFO - Trial 69 finished with value: 0.0003784772416111082 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0011311689413693495, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:50,465 - optuna.study.study - INFO - Trial 70 finished with value: 0.00029201284633018076 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 128, 'meta_hidden_dim1': 128, 'meta_hidden_dim2': 128, 'lr': 0.0015647943877392188, 'tw': 20}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:50,853 - optuna.study.study - INFO - Trial 71 finished with value: 0.00034497256274335086 and parameters: {'batch_size': 16, 'num_layers': 4, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.00031526082215482506, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:51,188 - optuna.study.study - INFO - Trial 72 finished with value: 0.0003059575392398983 and parameters: {'batch_size': 16, 'num_layers': 3, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0005318373692166495, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:51,581 - optuna.study.study - INFO - Trial 73 finished with value: 0.0002577539416961372 and parameters: {'batch_size': 16, 'num_layers': 4, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0004053049963982645, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:51,962 - optuna.study.study - INFO - Trial 74 finished with value: 0.0008215258712880313 and parameters: {'batch_size': 16, 'num_layers': 4, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0003636598598619261, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:52,337 - optuna.study.study - INFO - Trial 75 finished with value: 0.00032039955840446055 and parameters: {'batch_size': 16, 'num_layers': 4, 'hidden_dim': 64, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.000572902811667227, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:52,664 - optuna.study.study - INFO - Trial 76 finished with value: 0.0002868327428586781 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 64, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 256, 'lr': 0.0004458992241584425, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:52,990 - optuna.study.study - INFO - Trial 77 finished with value: 0.0003991158737335354 and parameters: {'batch_size': 16, 'num_layers': 2, 'hidden_dim': 32, 'meta_hidden_dim1': 64, 'meta_hidden_dim2': 64, 'lr': 0.0008343716973744175, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:53,652 - optuna.study.study - INFO - Trial 78 finished with value: 0.0002961106947623193 and parameters: {'batch_size': 128, 'num_layers': 2, 'hidden_dim': 256, 'meta_hidden_dim1': 256, 'meta_hidden_dim2': 64, 'lr': 0.0009805660103655838, 'tw': 40}. Best is trial 18 with value: 0.0002378794306423515.
2024-05-05 14:40:53,991 - root - INFO - New best model saved with score: 0.00023235523258335888
